Year,CON Seats,CON Votes,LAB Seats,LAB Votes,LD Seats,LD Votes,SNP Seats,SNP Votes,UKIP Seats,UKIP Votes,Total Seats,Total Votes
2024,121,6827112,411,9704655,72,3519199,9,724758,5,4117221,650,28805931
2019,365,13966454,202,10269051,11,3696419,48,1242380,0,22817,650,32014110
2017,317,13636684,262,12877918,12,2371861,35,977568,0,594068,650,32204184
2015,330,11299609,232,9347273,8,2415916,56,1454436,1,3881099,650,30697525
2010,306,10703754,258,8609527,57,6836825,6,497386,0,919546,650,29687604
2005,198,8784915,355,9552436,62,5985454,6,412267,0,605973,646,27148510
2001,166,8357615,412,10724953,52,4814321,5,464314,0,390563,659,26367383
1997,165,9600943,418,13518167,46,5242947,6,621550,0,105722,659,31286284
1992,336,14093007,271,11560484,20,5999606,3,629564,0,0,651,33614074
1987,376,13760583,229,10029807,22,7341633,3,416473,0,0,650,32529578
1983,397,13012316,209,8456934,23,7794770,2,331975,0,0,650,30671137
1979,339,13697923,269,11532218,11,4313804,2,504259,0,0,635,31221362
1974,277,10462565,319,11457079,13,5346704,11,839617,0,0,635,29189104
